epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,817.595,2.02644,2.49223,1.72611,0.30142,0.2037,0.15498,0.05475,2.3515,4.13208,2.09516,0.0006618,0.0006618,0.0006618
2,1513.9,1.96774,2.1167,1.69615,0.49591,0.37654,0.38389,0.15919,2.1789,2.82456,1.87909,0.000890073,0.000890073,0.000890073
